259,357,1,874725485
851,295,1,874728370
712,220,1,874729682
712,731,1,874729750
712,385,1,874729778
712,66,1,874729816
712,97,1,874729816
712,553,1,874729850
712,96,1,874729850
712,181,1,874729901
712,173,1,874729901
712,172,1,874729901
712,174,1,874729995
712,692,1,874729995
712,1220,1,874729996
712,392,1,874729996
712,82,1,874730031
712,785,1,874730206
712,71,1,874730261
712,73,1,874730293
712,210,1,874730293
712,662,1,874730320
712,732,1,874730370
712,716,1,874730370
712,655,1,874730467
712,568,1,874730491
712,941,1,874730491
712,729,1,874730491
851,742,1,874767519
851,405,1,874767550
119,300,1,874774286
119,286,1,874774286
119,275,1,874774575
119,458,1,874774575
119,100,1,874774575
119,50,1,874774718
119,235,1,874774956
119,718,1,874774956
119,237,1,874775038
119,282,1,874775136
119,7,1,874775185
119,1016,1,874775262
119,125,1,874775262
119,222,1,874775311
119,829,1,874775406
119,742,1,874775406
119,117,1,874775535
119,109,1,874775580
640,12,1,874777491
640,56,1,874777528
640,180,1,874777528
640,170,1,874777583
640,134,1,874777623
640,64,1,874777701
640,175,1,874777735
640,81,1,874777735
640,55,1,874777765
640,169,1,874777890
640,182,1,874777925
640,318,1,874777948
640,204,1,874777974
640,85,1,874778065
640,941,1,874778095
640,580,1,874778096
640,209,1,874778154
640,189,1,874778181
640,693,1,874778207
640,96,1,874778240
640,663,1,874778240
640,214,1,874778274
640,357,1,874778274
640,239,1,874778274
640,1073,1,874778299
640,428,1,874778299
640,42,1,874778345
640,202,1,874778366
640,231,1,874778424
640,79,1,874778515
640,226,1,874778569
640,385,1,874778569
640,761,1,874778613
594,515,1,874781050
119,11,1,874781198
119,492,1,874781198
119,1153,1,874781198
119,96,1,874781257
119,213,1,874781257
119,194,1,874781257
119,168,1,874781351
119,511,1,874781407
119,210,1,874781407
119,1260,1,874781547
119,655,1,874781628
119,382,1,874781742
119,31,1,874781779
119,1101,1,874781779
119,87,1,874781829
119,385,1,874781994
119,199,1,874781994
119,154,1,874782022
119,28,1,874782022
119,697,1,874782068
119,658,1,874782127
119,449,1,874782190
119,716,1,874782190
119,132,1,874782228
23,919,1,874784440
23,124,1,874784440
23,116,1,874784466
23,408,1,874784538
23,100,1,874784557
23,1,1,874784615
23,224,1,874784638
23,961,1,874785165
23,518,1,874785194
23,433,1,874785233
23,275,1,874785474
23,175,1,874785526
23,238,1,874785526
23,89,1,874785582
23,479,1,874785728
23,171,1,874785809
23,512,1,874785843
23,209,1,874785843
23,189,1,874785985
23,98,1,874786016
276,258,1,874786337
276,508,1,874786467
276,298,1,874786467
276,408,1,874786467
276,181,1,874786488
276,7,1,874786517
276,127,1,874786568
276,151,1,874786568
276,1,1,874786568
276,100,1,874786605
276,475,1,874786756
276,237,1,874786756
23,511,1,874786770
23,421,1,874786770
276,192,1,874787353
276,214,1,874787353
276,180,1,874787353
276,175,1,874787376
276,12,1,874787407
276,64,1,874787441
276,135,1,874787441
276,23,1,874787467
276,318,1,874787496
